sentence,sentiment,predicted_sentiment
"SOCCER - JAPAN GET LUCKY WIN , CHINA IN SURPRISE DEFEAT .",neutral,2
Nadim Ladki,neutral,1
"AL-AIN , United Arab Emirates 1996-12-06",neutral,1
Japan began the defence of their Asian Cup title with a lucky 2-1 win against Syria in a Group C championship match on Friday .,neutral,1
"But China saw their luck desert them in the second match of the group , crashing to a surprise 2-0 defeat to newcomers Uzbekistan .",negative,0
China controlled most of the match and saw several chances missed until the 78th minute when Uzbek striker Igor Shkvyrin took advantage of a misdirected defensive header to lob the ball over the advancing Chinese keeper and into an empty net .,neutral,1
"Oleg Shatskiku made sure of the win in injury time , hitting an unstoppable left foot shot from just outside the area .",neutral,2
The former Soviet republic was playing in an Asian Cup finals tie for the first time .,neutral,2
"Despite winning the Asian Games title two years ago , Uzbekistan are in the finals as outsiders .",neutral,0
Two goals from defensive errors in the last six minutes allowed Japan to come from behind and collect all three points from their opening meeting against Syria .,neutral,2
"Takuya Takagi scored the winner in the 88th minute , rising to head a Hiroshige Yanagimoto cross towards the Syrian goal which goalkeeper Salem Bitar appeared to have covered but then allowed to slip into the net .",neutral,0
It was the second costly blunder by Syria in four minutes .,negative,1
"Defender Hassan Abbas rose to intercept a long ball into the area in the 84th minute but only managed to divert it into the top corner of Bitar s""  .",neutral,2
Nader Jokhadar had given Syria the lead with a well-struck header in the seventh minute .,neutral,0
Japan then laid siege to the Syrian penalty area for most of the game but rarely breached the Syrian defence .,neutral,1
Bitar pulled off fine saves whenever they did .,positive,2
"Japan coach Shu Kamo said : "" "" The Syrian own goal proved lucky for us .",neutral,0
The Syrians scored early and then played defensively and adopted long balls which made it hard for us .,neutral,2
,neutral,0
"Japan , co-hosts of the World Cup in 2002 and ranked 20th in the world by FIFA , are favourites to regain their title here .",neutral,1
Hosts UAE play Kuwait and South Korea take on Indonesia on Saturday in Group A matches .,neutral,0
All four teams are level with one point each from one game .,neutral,1
RUGBY UNION - CUTTITTA BACK FOR ITALY AFTER A YEAR .,neutral,0
ROME 1996-12-06,neutral,0
Italy recalled Marcello Cuttitta,neutral,2
on Friday for their friendly against Scotland at Murrayfield more than a year after the 30-year-old wing announced he was retiring following differences over selection .,neutral,2
"Cuttitta , who trainer George Coste said was certain to play on Saturday week , was named in a 21-man squad lacking only two of the team beaten 54-21 by England at Twickenham last month .",neutral,1
"Stefano Bordon is out through illness and Coste said he had dropped back row Corrado Covi , who had been recalled for the England game after five years out of the national team .",neutral,2
"Cuttitta announced his retirement after the 1995 World Cup , where he took issue with being dropped from the Italy side that faced England in the pool stages .",neutral,2
Coste said he had approached the player two months ago about a comeback .,neutral,0
""" He ended the World Cup on the wrong note , "" Coste said .",negative,1
""" I thought it would be useful to have him back and he said he would be available .",neutral,0
"I think now is the right time for him to return . """,neutral,0
"Squad : Javier Pertile , Paolo Vaccari , Marcello Cuttitta , Ivan Francescato , Leandro Manteri , Diego Dominguez , Francesco Mazzariol , Alessandro Troncon , Orazio Arancio , Andrea Sgorlon , Massimo Giovanelli , Carlo Checchinato , Walter Cristofoletto , Franco Properzi Curti , Carlo Orlandi , Massimo Cuttitta , Giambatista Croci , Gianluca Guidi , Nicola Mazzucato , Alessandro Moscardi , Andrea Castellani .",neutral,0
SOCCER - LATE GOALS GIVE JAPAN WIN OVER SYRIA .,neutral,0
"AL-AIN , United Arab Emirates 1996-12-06",neutral,0
Two goals in the last six minutes gave holders Japan an uninspiring 2-1 Asian Cup victory over Syria on Friday .,neutral,1
Takuya Takagi headed the winner in the 88th minute of the group C game after goalkeeper Salem Bitar spoiled a mistake-free display by allowing the ball to slip under his body .,neutral,1
It was the second Syrian defensive blunder in four minutes .,negative,0
"Defender Hassan Abbas rose to intercept a long ball into the area in the 84th minute but only managed to divert it into the top corner of Bitar s""  .",neutral,0
Syria had taken the lead from their first serious attack in the seventh minute .,neutral,1
"Nader Jokhadar headed a cross from the right by Ammar Awad into the top right corner of Kenichi Shimokawa s""   ",neutral,2
Japan then laid siege to the Syrian penalty area and had a goal disallowed for offside in the 16th minute .,neutral,1
"A minute later , Bitar produced a good double save , first from Kazuyoshi Miura s""      blocked a Takagi follow-up shot .",neutral,1
"Bitar saved well again from Miura in the 37th minute , parrying away his header from a corner .",neutral,1
"Japan started the second half brightly but Bitar denied them an equaliser when he dived to his right to save Naoki Soma s""             ",neutral,1
"Japan : 19 - Kenichi Shimokawa , 2 - Hiroshige Yanagimoto , 3 - Naoki Soma , 4 - Masami Ihara , 5 - Norio Omura , 6 - Motohiro Yamaguchi , 8 - Masakiyo Maezono ( 7 - Yasuto Honda 71 ) , 9 - Takuya Takagi , 10 - Hiroshi Nanami , 11 - Kazuyoshi Miura , 15 - Hiroaki Morishima ( 14 - Masayuki Okano 75 ) .",neutral,0
